new_entry_price,old_entry_price,portfolio,position_id,position_type,symbol
250.29354838709676,250.0,Individual Investor,d87198fe-da1b-430b-f13a-c95c55542288,,VTI
95.09558823529412,95.0,Individual Investor,e5c47dac-2ede-8f14-7607-f2e6ef3f23a6,,VNQ
169.2,225.0,High Net Worth,107539e7-afd1-71e2-3eb0-aa0a6c91b259,,AAPL
127.84,170.0,High Net Worth,682ab181-0af6-b0ab-09d3-ffc62f0781f6,,AMZN
330.87,440.0,High Net Worth,86aaf31b-7d66-9172-003c-d136948a10f8,,BRK-B
22.56,30.0,High Net Worth,b3d647ff-5cb2-e819-4acb-d78bc77df73f,,DJP
164.86,219.23,High Net Worth,8d0b5332-693d-42b1-2713-8bf92c44bece,,GLD
105.28,140.0,High Net Worth,80ff3eb7-6316-46fb-8497-97ec474061c1,,GOOGL
105.28,140.0,High Net Worth,73dd2bfd-959e-4a0b-a9fb-3353e963e84b,,GOOGL
120.32,160.0,High Net Worth,ab25cfb1-db65-603c-921e-34f726a2eb32,,GOOGL
105.28,140.0,High Net Worth,d5a59432-ff24-4352-a3fb-1fb48b1bb16a,,GOOGL
263.19,350.0,High Net Worth,4855c0eb-5233-2ee0-b2f2-34757d3351fd,,HD
120.32,160.0,High Net Worth,f431d9ba-bc1a-6fec-6974-f9bcebea0e1f,,JNJ
127.84,170.0,High Net Worth,6c47d993-da00-378e-67ad-c51db20468be,,JPM
398.55,530.0,High Net Worth,f8e082c5-00a3-fc49-3a2e-2623ba1e60fe,,META
263.19,350.0,High Net Worth,9d5f770c-8c85-437a-bf80-ac1da50bee7f,,MSFT
263.19,350.0,High Net Worth,1f950286-5f64-4c27-853e-f0b054d22d08,,MSFT
315.83,420.0,High Net Worth,8234f55a-af20-c006-0291-8d13411f51e2,,MSFT
263.19,350.0,High Net Worth,1cdbc1f6-6b75-4ec6-ad08-8cb699be3434,,MSFT
526.39,700.0,High Net Worth,52989843-bbca-7098-5010-41291ec224cd,,NVDA
375.99,500.0,High Net Worth,0f3e612a-feb9-4fa7-b9b2-ba8b5d9bb158,,NVDA
124.08,165.0,High Net Worth,a023aa9e-85c2-2f74-5236-24a86240e54f,,PG
315.83,420.0,High Net Worth,a184ff6f-cc91-94a6-49db-0916ec29007e,,QQQ
398.55,530.0,High Net Worth,04a1f22b-66b7-0673-8724-8dde91a28922,,SPY
188.0,250.0,High Net Worth,6ee72513-510a-4201-8986-3061b4dd8159,,TSLA
188.0,250.0,High Net Worth,5541274f-8acb-4cec-9be6-6f0ad6848323,,TSLA
188.0,250.0,High Net Worth,71367eae-f233-49fa-a67b-16300cb9c48a,,TSLA
409.83,545.0,High Net Worth,7e8fe791-b5c7-3ae6-3203-030f02576429,,UNH
201.53,268.0,High Net Worth,878d19d7-5660-22c4-d55e-276cd1a3d29d,,V
172.96,230.0,High Net Worth,3ce55e08-5aa9-1f5a-07fa-85c96e67145f,,VTI
0.0,4.5,Hedge Fund,2046c1d9-384b-11df-4049-513786ed4cb4,SP,AAPL250815P00200000
0.0,7.5,Hedge Fund,7f202101-aed8-6df6-7571-d556b8e6a7d7,SP,META250919P00450000
0.0,5.0,Hedge Fund,10980603-f85e-6dfa-bdea-cfac73bb8a59,SP,MSFT250919P00380000
0.0,12.5,Hedge Fund,efb60407-c63a-0c21-8bdb-5673314ff23a,LC,NVDA251017C00800000
0.0,7.0,Hedge Fund,8eda2c09-0b98-33ed-97ee-5eebe861d31f,LC,QQQ250815C00420000
0.0,7.0,Hedge Fund,ad02481b-7509-f941-f936-f99599b4e96d,LC,SPY250919C00460000
